Date,sp500_close,nasdaq_close,dow_jones_close,vix_close,sp500_volume,nasdaq_volume,dow_jones_volume,vix_volume,returns,volatility,ma50,ma200,rsi,macd,macd_signal,macd_hist,momentum_10,trend_strength,volume,drawdown,vix_ma10,vix_spike,crash
2011-01-21,99.0119,48.9373,96.5297,559760.0,139303431,67892752,7353901.4654788,3.8,0.001946984147865427,0.005325936892965031,95.7212,89.16333050000001,63.762889199296815,1.0019444228437777,1.0799622649932188,-0.07801784214944107,0.007112000789318174,6.557869499999981,139303431,-0.009113062623533261,575768.0,-0.027802865042864444,0
2011-01-24,99.5974,49.6098,97.4347,547680.0,147317861,72943039,15105738.823734,4.4,0.00591343060783589,0.005466584602915863,95.829362,89.2000605,67.59329145750755,0.9974202243691934,1.0634538568684138,-0.06603363249922034,0.015042590097573028,6.629301499999997,147317861,-0.0032535214791464,568104.0,-0.035951163871403846,0
2011-01-25,99.652,49.6774,97.3858,540720.0,217117819,62930124,12864792.700443,3.15,0.0005482070817111051,0.005381984440803209,95.945348,89.23643199999998,67.93369197182341,0.9868645677367454,1.04813599904208,-0.061271431305334634,0.017079239752354036,6.708916000000016,217117819,-0.002707098000950721,559872.0,-0.0342078189300411,0
2011-01-26,100.046,49.9477,97.4847,523840.0,183079021,68780124,11243648.214424,4.05,0.0039537590816041135,0.005388848682144872,96.09169000000001,89.27434699999999,70.35368577715965,0.9987783459564952,1.0382644684249631,-0.039486122468467943,0.017235226113843538,6.817343000000022,183079021,0.0,551672.0,-0.05045026755028348,0
2011-01-27,100.303,50.2512,97.5047,514000.0,159759579,61053266,9075155.8115208,1.75,0.0025688183435619294,0.004848704021989663,96.245776,89.308307,71.84621769484095,1.0172318377701828,1.034057942294007,-0.01682610452382427,0.011182150497309307,6.937469000000007,159759579,0.0,545192.0,-0.05721287179562429,0
2011-01-28,98.5429,48.9844,96.1601,557040.0,256496825,140313022,14792545.154681,6.9,-0.01754783007487304,0.007650422830803713,96.39331199999998,89.333094,52.392227715093426,0.8796904785043296,1.0031844495360716,-0.12349397103174198,-0.004736804363919878,7.060217999999978,256496825,-0.017547830074873077,543696.0,0.024543127041582125,0
2011-01-31,99.2809,49.2144,96.6366,554800.0,193403492,80298963,11004408.792517,3.35,0.007489124026185623,0.007633246101792075,96.554496,89.3689935,57.57891700175222,0.8207769864469867,0.9667029569182546,-0.14592597047126787,-0.004882326998636777,7.185502499999998,193403492,-0.010190123924508685,544336.0,0.019223420828311966,0
2011-02-01,100.852,50.1464,97.8533,528400.0,216639072,87549492,9363455.1510312,4.75,0.015824796108818484,0.00922111256195927,96.72027,89.41103500000001,66.05695442734125,0.8905960227388476,0.9514815700823732,-0.06088554734352558,0.009302209212139534,7.309234999999987,216639072,0.0,544008.0,-0.028690754547727293,0
2011-02-02,100.657,50.0661,97.8633,526240.0,153324579,55363149,5196738.5901705,2.5,-0.0019335263554516313,0.008497920885100775,96.877146,89.447981,64.33826120889542,0.9195927489192002,0.9451038058497386,-0.025511056930538456,0.017394055354921,7.429164999999998,153324579,-0.001933526355451626,540696.0,-0.026735910752067715,0
2011-02-03,100.871,50.1542,98.0592,520000.0,188967142,51585439,7779556.5620577,2.15,0.0021260319699574204,0.008435037062042397,97.04017599999999,89.4869205,65.40214177768937,0.948902517306422,0.9458635481410753,0.0030389691653467388,0.020760072657724393,7.553255499999992,188967142,0.0,537248.0,-0.0321043540413366,0
